PRE-HISTORIC KLIS CATEGORY,Grandparent V#,HISTORIC KLIS CATEGORY,Parent V#,KLIS item name,V#,A#,ALM item name,Parent A#,HISTORIC ALM CATEGORY,Material Composition,EPA DIVISION,Smoking related,CDS,PBs,Refine Classification,Takeaway related,Snacks related,Plastic Plan related
,,,NEW @ S?,PL Other Alcoholic Beverages (all sizes),336,270,PL Other Alcoholic Beverages (all sizes),,,Plastics,Non-CDS beverage container ,,Beverage Container - Non CDS,,Plastic Refined,,,
,,,,PL White Shop Bags,52,11,PL White Shop Bags,,,Plastics,Check out plastic bags,,Non,SUPB,Plastic Refined,,,Ban 1
,,,,PL Blue Shop Bags,53,9,PL Blue Shop Bags,,,Plastics,Check out plastic bags,,Non,SUPB,Plastic Refined,,,Ban 1
,,,,PL Grey Shop Bags,54,10,PL Grey Shop Bags,,,Plastics,Check out plastic bags,,Non,SUPB,Plastic Refined,,,Ban 1
,,,,PL Fruit/Veg Bags,55,3,PL Fruit/Veg Bags,,,Plastics,Check out plastic bags,,Non,SUPB,Plastic Refined,,,
,,,,"PL Reusable Vinyl, Woven, Cooler Bags",57,4,"PL Reusable Vinyl, Woven, Cooler Bags",,,Plastics,Check out plastic bags,,Non,HPB,Plastic Refined,,,Substitute
,,,,PL Ziplock Bags,58,12,PL Ziplock BagS,,,Plastics,Other plastic bags ,,Non,SUPB,Plastic Refined,,,
,,,,PL Dog Poo Bags,59,2,PL Dog Poo Bags,,,Plastics,Other plastic bags ,,Non,SUPB,Plastic Refined,,,
,,,,PL Ice Bags,60,7,PL Ice Bags,,,Plastics,Other plastic bags ,,Non,SUPB,Plastic Refined,,,
,,,NEW @ S?,PL Bags Labelled Degradable,277,1401,PL Bags Labelled Degradable,14 & 8,PL Other Plastic Bags & PL Lightweight Shop Bags,Plastics,Other plastic bags ,,Non,OPB,Plastic Refined,,,Substitute
,,,,PL Other Plastic Bags,61,1400,PL All Other Plastic Bags,,,Plastics,Other plastic bags ,,Non,OPB,Plastic Refined,,,
,,,,,,,,,,Plastics,Other plastic bags ,,Non,OPB,Plastic Refined,,,
,,,,PL Mesh Bags,62,13,PL Mesh Bags,,,Plastics,Other plastic bags ,,Non,SUPB,Plastic Refined,,,
,,PL Boutique Bag,56,PL Heavy 15c Supermarket Bags,253,6,PL Heavy 15c Supermarket Bags,,,Plastics,Check out plastic bags,,Non,HPB,Plastic Refined,,,Substitute
,,,,PL Other Heavy Boutique Bags,254,5,PL Other Heavy Boutique Bags,,,Plastics,Check out plastic bags,,Non,HPB,Plastic Refined,,,
,,,,H PL Wrap (non-food) ,70,,,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,Future
,,,,PL Fruit/Food Stickers,275,36,PL Fruit/Food Stickers,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,Future
,,,,PL Wrap (non-food) & Stickers,7001,35,PL Wrap (non-food) & Stickers,,,Plastics,Miscellaneous Plastic ,,Non,,Plastic Refined,,,
,,,,PL Beverage Bottle Labels,281,4716,PL Beverage Bottle Labels,47,PL Other,Plastics,Miscellaneous Plastic ,,Beverage related,,Plastic Refined,,,
,,,,PL Take Away Items,64,42,PL Take Away Items,,,Plastics,Takeaway,,Non,,Plastic Refined,Takeaway,,Ban 2
